dataset_version,trajectory_id,trajectory_seed,thermal_regime,split,timestamp,time_h,tempC,RH,shockG,ambientC,packaging_index,rh_transient_per_h,k_ref_per_h,ea_over_r_kelvin,mechanistic_quality_fraction,latent_quality_fraction,observed_quality_fraction,latent_correction_fraction
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T06:00:00,0,4.98455185573,87.7062010116,0.033664650511,17.6146073178,0.348551761717,0,0.00204424450416,9154.86702361,1,1,1,0
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T06:15:00,0.25,5.32873001045,88.6994449085,0.0141666123524,18.0576158855,0.348551761717,3.97297558792,0.00204424450416,9154.86702361,0.999992623329,0.999992909443,1,2.86114511749e-07
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T06:30:00,0.5,5.33950030231,89.700783005,0.018413980853,18.1613935799,0.348551761717,4.00535238584,0.00204424450416,9154.86702361,0.999970436135,0.999971542017,0.998708896417,1.10588193514e-06
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T06:45:00,0.75,4.62496762882,90.8207326048,0.00847978249451,17.5336470266,0.348551761717,4.479798399,0.00204424450416,9154.86702361,0.999935591932,0.999938027485,0.996535051986,2.43555296886e-06
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T07:00:00,1,5.06477011418,89.917960614,0.0102253136568,18.0536427183,0.348551761717,3.61108796294,0.00204424450416,9154.86702361,0.999888520486,0.999892935858,1,4.41537140927e-06
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T07:15:00,1.25,5.59397361586,92.0235897465,0.022118762064,18.6561031128,0.348551761717,8.4225165299,0.00204424450416,9154.86702361,0.999825578364,0.999831831171,0.999479527108,6.25280755029e-06
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T07:30:00,1.5,5.72292752709,91.3081066201,0.00862800060582,18.8510639061,0.348551761717,2.86193250579,0.00204424450416,9154.86702361,0.999746994715,0.999755704285,0.998101647164,8.70956976495e-06
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T07:45:00,1.75,5.98278374637,89.5892406365,0.019630892716,19.1693943451,0.348551761717,6.8754639341,0.00204424450416,9154.86702361,0.999653956197,0.999665941985,1,1.1985788661e-05
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T08:00:00,2,5.65420675694,91.4901073226,0.0116530812443,18.8915085174,0.348551761717,7.6034667441,0.00204424450416,9154.86702361,0.999548954443,0.999563548349,0.998748711273,1.45939052401e-05
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T08:15:00,2.25,6.12802948481,91.641331343,2.6485748928e-05,19.4080222818,0.348551761717,0.604896081793,0.00204424450416,9154.86702361,0.999430822601,0.999450674606,0.999179563423,1.98520054201e-05
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T08:30:00,2.5,6.45834821065,91.4983497182,0.00505392379493,19.7728491093,0.348551761717,0.571926499351,0.00204424450416,9154.86702361,0.999294834226,0.999322890528,0.997840047761,2.80563012893e-05
synthetic_spoilage_residual_v1,trajectory_001,2019863662,cold_chain,train,2025-01-10T08:45:00,2.75,6.37075259906,91.9983833436,0.0322819903296,19.7114308956,0.348551761717,2.00013450166,0.00204424450416,9154.86702361,0.999144951521,0.999179821707,0.999873003327,3.48701865071e-05
